design_id,titre,type,transparent,collection,download_url,utilise_sur
D01,VICEHUB X Chrome Wordmark,front-text,oui,GOLDEN HOUR,https://d8j0ntlcm91z4.cloudfront.net/user_3DO7HqDJu2i1Hy0ZwCkmP0PQX9E/hf_20260818_223714_8632fff8-9e82-4478-9d4f-e0e743777b83.png,P09;P29;P40;P50;P52
D02,Outrun The Sunrise Slogan Stack,front-text,oui,GOLDEN HOUR,https://d8j0ntlcm91z4.cloudfront.net/user_3DO7HqDJu2i1Hy0ZwCkmP0PQX9E/hf_20260818_223717_e1d1cfc6-4a9d-415e-aee7-6836b87a4355.png,P11
D03,Two Of A Kind Chrome Wordmark,front-text,oui,TWO OF A KIND,https://d8j0ntlcm91z4.cloudfront.net/user_3DO7HqDJu2i1Hy0ZwCkmP0PQX9E/hf_20260818_223719_a03cbc72-eb6b-4509-9547-2aa245b6db27.png,P19
D04,"High Score, Low Life Lockup",front-text,oui,HIGH SCORE CITY,https://d8j0ntlcm91z4.cloudfront.net/user_3DO7HqDJu2i1Hy0ZwCkmP0PQX9E/hf_20260818_223722_73e44c5a-9ff7-42c2-982b-e2c83bdbad78.png,P27;P31
D05,Getaway Season Neon Wordmark,front-text,oui,GETAWAY SEASON,https://d8j0ntlcm91z4.cloudfront.net/user_3DO7HqDJu2i1Hy0ZwCkmP0PQX9E/hf_20260818_223724_e1b154fc-2379-4454-9c06-cf0196c969b1.png,P37;P39
D06,Ride Or Die Stacked Slogan,front-text,oui,TWO OF A KIND,https://d8j0ntlcm91z4.cloudfront.net/user_3DO7HqDJu2i1Hy0ZwCkmP0PQX9E/hf_20260818_223727_9adbcb61-1195-4d05-b148-6dabffa8e4eb.png,P18
D07,Golden Pistols Crest,front-emblem,oui,GOLDEN HOUR,https://d8j0ntlcm91z4.cloudfront.net/user_3DO7HqDJu2i1Hy0ZwCkmP0PQX9E/hf_20260818_223730_b8572823-2d2d-43fb-b42b-be2e41c93334.png,P10
D08,Neon Flamingo Badge,front-emblem,oui,NEON NOIR,https://d8j0ntlcm91z4.cloudfront.net/user_3DO7HqDJu2i1Hy0ZwCkmP0PQX9E/hf_20260818_223732_62d7bddd-11fd-4e35-9eb6-0cc30bcc1de8.png,P49;P51;P53
D09,Wanted Star VHX Badge,front-emblem,oui,GOLDEN HOUR,https://d8j0ntlcm91z4.cloudfront.net/user_3DO7HqDJu2i1Hy0ZwCkmP0PQX9E/hf_20260818_223735_8217c644-c32e-4db3-803f-760a7fc55fed.png,P12
D10,Golden Ace Chip Badge,front-emblem,oui,TWO OF A KIND,https://d8j0ntlcm91z4.cloudfront.net/user_3DO7HqDJu2i1Hy0ZwCkmP0PQX9E/hf_20260818_223737_ecfa0401-6056-4740-8dcb-c33f6d175f21.png,P17;P20
D11,Insert Coin Arcade Token,front-emblem,oui,HIGH SCORE CITY,https://d8j0ntlcm91z4.cloudfront.net/user_3DO7HqDJu2i1Hy0ZwCkmP0PQX9E/hf_20260818_223740_22829182-6fe2-4106-9eb6-6240081d7872.png,P28;P30
