id,collection,type,couleur,nom_fr,nom_en,prix_eur,blank_printful,categorie_site,slug,design_devant,design_derriere,titre_seo,meta_description
P01,AFTER MIDNIGHT,oversized-tee,Noir,T-shirt Oversize After Midnight,After Midnight Oversized Tee,44.90,Comfort Colors 1717 / Bella+Canvas 3001,apparel,after-midnight-oversized-tee,AM-F1,AM-B1,ViceHub X — After Midnight Oversized Tee | Synthwave Miami Neon,"T-shirt oversize noir coton lourd ViceHub X : wordmark chrome devant, coupé + coucher de soleil néon plein dos. Impression à la demande. Pièce hero synthwave."
P02,AFTER MIDNIGHT,hoodie,Noir,Hoodie Property Of The Night,Property Of The Night Hoodie,69.90,Gildan 18500 / Bella+Canvas 3719,apparel,property-of-the-night-hoodie,AM-F2,AM-B2,ViceHub X — Property Of The Night Hoodie | Synthwave Miami Neon,"Hoodie noir molleton épais ViceHub X : emblème rond palmier devant, skyline néon plein dos. Impression à la demande. Pièce premium synthwave."
P03,AFTER MIDNIGHT,tee,Noir,T-shirt Neon Never Sleeps,Neon Never Sleeps Tee,32.90,Bella+Canvas 3001,apparel,neon-never-sleeps-tee,AM-F3,AM-B3,ViceHub X — Neon Never Sleeps Tee | Synthwave Miami Neon,"T-shirt noir ViceHub X : slogan NEON NEVER SLEEPS devant, badge soleil haut de dos. Impression à la demande. Entrée de gamme synthwave."
P04,AFTER MIDNIGHT,oversized-tee,Noir délavé,T-shirt Cassette Static Paradise,Static Paradise Cassette Tee,39.90,Comfort Colors 1717 (washed black),apparel,static-paradise-cassette-tee,AM-F4,AM-B4,ViceHub X — Static Paradise Cassette Tee | Synthwave Miami Neon,"T-shirt oversize noir délavé ViceHub X : wordmark cassette devant, cassette néon + tracklist plein dos. Impression à la demande."
P05,AFTER MIDNIGHT,oversized-tee,Noir,T-shirt Midnight Flamingo,Midnight Flamingo Tee,39.90,Comfort Colors 1717 / Bella+Canvas 3001,apparel,midnight-flamingo-tee,AM-F5,AM-B5,ViceHub X — Midnight Flamingo Tee | Synthwave Miami Neon,"T-shirt oversize noir ViceHub X : badge flamant devant, flamant néon hero plein dos. Impression à la demande. Icône vaporwave."
P06,AFTER MIDNIGHT,tank,Noir,Débardeur Sunset Strip,Sunset Strip Tank,29.90,Bella+Canvas 3480,apparel,sunset-strip-tank,AM-F6,AM-B6,ViceHub X — Sunset Strip Tank | Synthwave Miami Neon,"Débardeur noir coton ViceHub X : wordmark vertical devant, palmier + cabriolet plein dos. Impression à la demande. Pièce d'été."
P07,AFTER MIDNIGHT,cap,Noir,Casquette Vice Outrun,Vice Outrun Cap,27.90,Casquette dad brodée (Yupoong 6245CM),apparel,vice-outrun-cap,AM-F7,,ViceHub X — Vice Outrun Cap | Synthwave Miami Neon Casquette,"Casquette dad noire brodée ViceHub X : soleil outrun + palmiers, broderie à plat. Collection AFTER MIDNIGHT, produite à la demande."
P08,AFTER MIDNIGHT,tote,Noir,Tote Bag Miami Nights,Miami Nights Tote,24.90,Tote bag coton noir,accessory,miami-nights-tote,AM-F8,,ViceHub X — Miami Nights Tote | Synthwave Miami Neon,"Tote bag coton noir ViceHub X : flamant néon MIAMI NIGHTS. Collection AFTER MIDNIGHT, impression à la demande. Accessoire mixte."
P09,GOLDEN HOUR,oversized-tee,noir,Tee Oversize Golden Hour,Golden Hour Oversized Tee,36.90,heavyweight boxy 240g noir DTG,apparel,golden-hour-oversized-tee,D01,D13,ViceHub X — Golden Hour | Synthwave Miami Neon Tee Oversize,"Tee oversize Golden Hour ViceHub X : coton lourd 240g noir, print néon Miami synthwave. Imprimé à la demande. Dernier score avant la nuit."
P10,GOLDEN HOUR,hoodie,noir,Hoodie Golden Hour,Golden Hour Hoodie,64.90,hoodie molleton epais noir DTG,apparel,golden-hour-hoodie,D07,D13,ViceHub X — Golden Hour | Synthwave Miami Neon Hoodie,"Hoodie Golden Hour ViceHub X : molleton épais noir, print néon chrome Miami synthwave. Imprimé à la demande. Heure dorée, dernier braquage."
